"GO.ID"	"Term"	"Annotated"	"Significant"	"Expected"	"Rank in weight"	"kselim"	"weight"	"weightfisher"
"36"	"GO:0051817"	"modification of morphology or physiology..."	118	6	5.79	36	"0.01037"	"0.01037"	"0.52409"
"37"	"GO:0090102"	"cochlea development"	100	6	4.91	37	"0.01051"	"0.01051"	"0.36701"
"38"	"GO:1901566"	"organonitrogen compound biosynthetic pro..."	1822	98	89.39	38	"0.03788"	"0.01068"	"0.00011"
"41"	"GO:0010717"	"regulation of epithelial to mesenchymal ..."	109	8	5.35	41	"0.01212"	"0.01212"	"0.16592"
"43"	"GO:0008645"	"hexose transport"	149	11	7.31	43	"0.25694"	"0.01281"	"0.22107"
"45"	"GO:1901617"	"organic hydroxy compound biosynthetic pr..."	286	27	14.03	45	"0.06614"	"0.01359"	"9.8e-05"
"46"	"GO:0007005"	"mitochondrion organization"	675	41	33.12	46	"0.11083"	"0.01376"	"0.45580"
"48"	"GO:0016485"	"protein processing"	287	17	14.08	48	"0.01425"	"0.01425"	"0.24397"
"49"	"GO:0048704"	"embryonic skeletal system morphogenesis"	162	11	7.95	49	"0.01483"	"0.01483"	"0.17199"
"50"	"GO:0032231"	"regulation of actin filament bundle asse..."	110	9	5.4	50	"0.01543"	"0.01543"	"0.09048"
"51"	"GO:0042632"	"cholesterol homeostasis"	121	10	5.94	51	"0.01566"	"0.01566"	"0.07313"
"52"	"GO:1904888"	"cranial skeletal system development"	108	6	5.3	52	"0.01587"	"0.01587"	"0.43790"
"54"	"GO:0032675"	"regulation of interleukin-6 production"	102	10	5	54	"0.01637"	"0.01637"	"0.02763"
"56"	"GO:0001654"	"eye development"	1003	50	49.21	56	"0.31656"	"0.01682"	"0.65200"
"58"	"GO:0046889"	"positive regulation of lipid biosyntheti..."	145	14	7.11	58	"0.01764"	"0.01764"	"0.01164"
"60"	"GO:0072594"	"establishment of protein localization to..."	825	41	40.48	60	"0.00237"	"0.01802"	"0.84688"
"61"	"GO:0048878"	"chemical homeostasis"	1153	72	56.57	61	"0.06136"	"0.01827"	"0.15314"
"63"	"GO:0031668"	"cellular response to extracellular stimu..."	398	26	19.53	63	"0.28325"	"0.01835"	"0.03931"
"65"	"GO:0036293"	"response to decreased oxygen levels"	373	19	18.3	65	"0.36548"	"0.01850"	"1.00000"
"66"	"GO:0006081"	"cellular aldehyde metabolic process"	112	8	5.5	66	"0.01992"	"0.01992"	"0.18395"
"68"	"GO:0032680"	"regulation of tumor necrosis factor prod..."	101	8	4.96	68	"0.02078"	"0.02078"	"0.12221"
"69"	"GO:0006812"	"cation transport"	908	54	44.55	69	"0.09026"	"0.02101"	"0.33898"
"71"	"GO:0045017"	"glycerolipid biosynthetic process"	210	19	10.3	71	"0.03807"	"0.02236"	"0.00711"
"72"	"GO:0001101"	"response to acid chemical"	342	23	16.78	72	"0.03216"	"0.02242"	"0.11213"
"73"	"GO:0043409"	"negative regulation of MAPK cascade"	242	13	11.87	73	"0.02525"	"0.02311"	"0.23231"
"74"	"GO:0035023"	"regulation of Rho protein signal transdu..."	110	10	5.4	74	"0.02314"	"0.02314"	"0.04322"
"75"	"GO:1901657"	"glycosyl compound metabolic process"	149	10	7.31	75	"0.09391"	"0.02326"	"0.46755"
"76"	"GO:0045619"	"regulation of lymphocyte differentiation"	120	8	5.89	76	"0.02401"	"0.02401"	"0.23576"
"77"	"GO:0044272"	"sulfur compound biosynthetic process"	136	8	6.67	77	"0.02422"	"0.02422"	"0.35093"
"78"	"GO:1904951"	"positive regulation of establishment of ..."	615	44	30.17	78	"0.12178"	"0.02557"	"0.07890"
"79"	"GO:0007565"	"female pregnancy"	163	11	8	79	"0.02589"	"0.02589"	"0.17689"
"80"	"GO:0001816"	"cytokine production"	479	32	23.5	80	"0.14873"	"0.02596"	"0.72237"
"82"	"GO:0051899"	"membrane depolarization"	101	10	4.96	82	"0.02627"	"0.02627"	"0.02601"
"83"	"GO:0006810"	"transport"	4273	224	209.65	83	"0.38377"	"0.02780"	"0.15551"
"84"	"GO:0044344"	"cellular response to fibroblast growth f..."	108	9	5.3	84	"0.02826"	"0.02826"	"0.08285"
"85"	"GO:0045862"	"positive regulation of proteolysis"	402	25	19.72	85	"0.16193"	"0.02859"	"0.56160"
"86"	"GO:0006112"	"energy reserve metabolic process"	101	8	4.96	86	"0.03007"	"0.03007"	"0.12221"
"87"	"GO:0006073"	"cellular glucan metabolic process"	104	8	5.1	87	"0.03035"	"0.03035"	"0.13782"
"89"	"GO:0019217"	"regulation of fatty acid metabolic proce..."	102	8	5	89	"0.03137"	"0.03137"	"0.12731"
"91"	"GO:0051048"	"negative regulation of secretion"	252	14	12.36	91	"0.15341"	"0.03169"	"1.00000"
"92"	"GO:0008340"	"determination of adult lifespan"	1069	58	52.45	92	"0.03211"	"0.03211"	"0.22068"
"93"	"GO:0002440"	"production of molecular mediator of immu..."	185	12	9.08	93	"0.25666"	"0.03219"	"0.20662"
"94"	"GO:1901136"	"carbohydrate derivative catabolic proces..."	129	9	6.33	94	"0.03229"	"0.03229"	"0.18224"
"97"	"GO:0060038"	"cardiac muscle cell proliferation"	100	5	4.91	97	"0.03506"	"0.03506"	"0.54790"
"98"	"GO:0097190"	"apoptotic signaling pathway"	618	36	30.32	98	"0.03610"	"0.03529"	"0.66449"
"99"	"GO:0040018"	"positive regulation of multicellular org..."	489	29	23.99	99	"0.03539"	"0.03539"	"0.16512"
"100"	"GO:0009719"	"response to endogenous stimulus"	1333	86	65.4	100	"0.45753"	"0.03609"	"0.25501"
"101"	"GO:0060420"	"regulation of heart growth"	106	7	5.2	101	"0.03621"	"0.03621"	"0.26381"
"102"	"GO:0022037"	"metencephalon development"	147	9	7.21	102	"0.08823"	"0.03645"	"1.00000"
"103"	"GO:0051050"	"positive regulation of transport"	1225	79	60.1	103	"0.18120"	"0.03704"	"0.11418"
"104"	"GO:0051592"	"response to calcium ion"	112	10	5.5	104	"0.03715"	"0.03715"	"0.04790"
"105"	"GO:1901568"	"fatty acid derivative metabolic process"	125	10	6.13	105	"0.03746"	"0.03746"	"0.08659"
"107"	"GO:0055024"	"regulation of cardiac muscle tissue deve..."	118	9	5.79	107	"0.03784"	"0.03784"	"0.12500"
"108"	"GO:0007632"	"visual behavior"	161	10	7.9	108	"0.33575"	"0.03813"	"0.02120"
"110"	"GO:0090101"	"negative regulation of transmembrane rec..."	147	10	7.21	110	"0.03851"	"0.03851"	"0.18512"
"111"	"GO:0031347"	"regulation of defense response"	558	32	27.38	111	"0.11937"	"0.03859"	"1.00000"
"112"	"GO:0006941"	"striated muscle contraction"	219	11	10.74	112	"0.24231"	"0.03920"	"0.34103"
"114"	"GO:0005975"	"carbohydrate metabolic process"	963	51	47.25	114	"0.60552"	"0.04006"	"0.01299"
"116"	"GO:0042307"	"positive regulation of protein import in..."	159	13	7.8	116	"0.04058"	"0.04058"	"0.04858"
"118"	"GO:0050727"	"regulation of inflammatory response"	208	17	10.21	118	"0.09571"	"0.04104"	"0.03935"
"119"	"GO:0055114"	"oxidation-reduction process"	944	68	46.32	119	"0.04338"	"0.04112"	"0.00014"
"120"	"GO:0051403"	"stress-activated MAPK cascade"	361	20	17.71	120	"0.05549"	"0.04121"	"0.66771"
"121"	"GO:0006469"	"negative regulation of protein kinase ac..."	250	18	12.27	121	"0.36523"	"0.04135"	"0.01291"
"123"	"GO:0003279"	"cardiac septum development"	154	12	7.56	123	"0.21425"	"0.04158"	"0.57142"
"124"	"GO:0015711"	"organic anion transport"	411	34	20.17	124	"0.59842"	"0.04188"	"0.10505"
"127"	"GO:0006633"	"fatty acid biosynthetic process"	160	15	7.85	127	"0.04259"	"0.04259"	"0.01189"
"128"	"GO:0006949"	"syncytium formation"	131	8	6.43	128	"0.02187"	"0.04290"	"1.00000"
"129"	"GO:0043933"	"macromolecular complex subunit organizat..."	2251	124	110.44	129	"0.63536"	"0.04369"	"0.03679"
"131"	"GO:0007618"	"mating"	351	22	17.22	131	"0.55886"	"0.04390"	"0.04155"
"132"	"GO:0010883"	"regulation of lipid storage"	117	7	5.74	132	"0.04412"	"0.04412"	"0.35066"
"133"	"GO:0051251"	"positive regulation of lymphocyte activa..."	154	11	7.56	133	"0.04487"	"0.04487"	"0.13527"
"134"	"GO:0033993"	"response to lipid"	679	39	33.31	134	"0.42036"	"0.04509"	"0.07545"
"135"	"GO:0007520"	"myoblast fusion"	112	7	5.5	135	"0.04527"	"0.04527"	"0.31058"
"140"	"GO:0031960"	"response to corticosteroid"	106	11	5.2	140	"0.14807"	"0.04882"	"1.00000"
"142"	"GO:2001243"	"negative regulation of intrinsic apoptot..."	114	8	5.59	142	"0.04935"	"0.04935"	"0.19642"
"143"	"GO:0060438"	"trachea development"	100	10	4.91	143	"0.05091"	"0.05091"	"0.02446"
"148"	"GO:1903747"	"regulation of establishment of protein l..."	148	8	7.26	148	"0.01861"	"0.05283"	"0.29687"
"149"	"GO:1904950"	"negative regulation of establishment of ..."	279	16	13.69	149	"0.35242"	"0.05335"	"0.29592"
"150"	"GO:0050801"	"ion homeostasis"	756	42	37.09	150	"0.40492"	"0.05368"	"0.02049"
"151"	"GO:0070997"	"neuron death"	515	33	25.27	151	"0.69556"	"0.05475"	"1.00000"
"153"	"GO:0042475"	"odontogenesis of dentin-containing tooth"	113	9	5.54	153	"0.05508"	"0.05508"	"0.10269"
"154"	"GO:0090263"	"positive regulation of canonical Wnt sig..."	125	10	6.13	154	"0.05516"	"0.05516"	"0.08659"
"155"	"GO:0007591"	"molting cycle, chitin-based cuticle"	214	21	10.5	155	"0.02063"	"0.05550"	"0.08378"
"156"	"GO:0070838"	"divalent metal ion transport"	364	20	17.86	156	"0.11846"	"0.05654"	"0.45174"
"157"	"GO:0042472"	"inner ear morphogenesis"	190	13	9.32	157	"0.05699"	"0.05699"	"0.14107"
"158"	"GO:0046148"	"pigment biosynthetic process"	148	14	7.26	158	"0.05700"	"0.05700"	"0.01376"
"159"	"GO:0043270"	"positive regulation of ion transport"	326	24	15.99	159	"0.08092"	"0.05702"	"0.01490"
"160"	"GO:0048066"	"developmental pigmentation"	243	19	11.92	160	"0.01431"	"0.05843"	"0.38105"
"161"	"GO:0009064"	"glutamine family amino acid metabolic pr..."	104	8	5.1	161	"0.06002"	"0.06002"	"0.13782"
"162"	"GO:0003012"	"muscle system process"	440	26	21.59	162	"0.10202"	"0.06021"	"0.32890"
"164"	"GO:0019058"	"viral life cycle"	274	14	13.44	164	"0.69735"	"0.06056"	"0.08948"
"165"	"GO:1903201"	"regulation of oxidative stress-induced c..."	112	9	5.5	165	"0.06200"	"0.06200"	"0.09852"
"168"	"GO:0009165"	"nucleotide biosynthetic process"	300	19	14.72	168	"0.21276"	"0.06296"	"0.26838"
"170"	"GO:0098662"	"inorganic cation transmembrane transport"	461	23	22.62	170	"0.06303"	"0.06332"	"0.98844"
"171"	"GO:0009628"	"response to abiotic stimulus"	1768	103	86.74	171	"0.07267"	"0.06338"	"0.51968"
"172"	"GO:0042471"	"ear morphogenesis"	215	13	10.55	172	"0.00951"	"0.06340"	"1.00000"
"173"	"GO:0009725"	"response to hormone"	718	47	35.23	173	"0.36284"	"0.06352"	"0.01318"
"175"	"GO:0043122"	"regulation of I-kappaB kinase/NF-kappaB ..."	195	10	9.57	175	"0.40750"	"0.06535"	"0.61354"
"176"	"GO:0009408"	"response to heat"	274	16	13.44	176	"0.10069"	"0.06594"	"0.10270"
"177"	"GO:0065003"	"macromolecular complex assembly"	1970	103	96.66	177	"0.78631"	"0.06629"	"0.35925"
"178"	"GO:0006665"	"sphingolipid metabolic process"	103	10	5.05	178	"0.06644"	"0.06644"	"0.02932"
"180"	"GO:0032103"	"positive regulation of response to exter..."	275	21	13.49	180	"0.10288"	"0.06761"	"0.02046"
"183"	"GO:0009617"	"response to bacterium"	617	37	30.27	183	"0.57729"	"0.06870"	"0.15192"
"184"	"GO:0006140"	"regulation of nucleotide metabolic proce..."	269	14	13.2	184	"0.73018"	"0.06899"	"0.14012"
"185"	"GO:0043241"	"protein complex disassembly"	262	14	12.85	185	"0.13923"	"0.06906"	"0.38037"
"187"	"GO:0044706"	"multi-multicellular organism process"	263	20	12.9	187	"0.00574"	"0.06953"	"0.05431"
"188"	"GO:0044057"	"regulation of system process"	589	38	28.9	188	"0.09075"	"0.07010"	"0.03828"
"189"	"GO:0010817"	"regulation of hormone levels"	653	56	32.04	189	"0.07447"	"0.07045"	"0.24732"
"191"	"GO:0009190"	"cyclic nucleotide biosynthetic process"	142	9	6.97	191	"0.64475"	"0.07103"	"0.00697"
"192"	"GO:1905039"	"carboxylic acid transmembrane transport"	113	13	5.54	192	"0.07152"	"0.07152"	"0.00348"
"195"	"GO:0034502"	"protein localization to chromosome"	113	7	5.54	195	"0.07245"	"0.07245"	"0.31853"
"196"	"GO:0043200"	"response to amino acid"	101	7	4.96	196	"0.07308"	"0.07308"	"0.22652"
"197"	"GO:0006629"	"lipid metabolic process"	1233	80	60.5	197	"0.75587"	"0.07330"	"0.58828"
"198"	"GO:0043112"	"receptor metabolic process"	270	16	13.25	198	"0.15620"	"0.07347"	"0.25407"
"199"	"GO:0110020"	"regulation of actomyosin structure organ..."	117	7	5.74	199	"0.07489"	"0.07489"	"0.35066"
"201"	"GO:0060041"	"retina development in camera-type eye"	198	15	9.71	201	"0.07598"	"0.07598"	"0.06232"
"202"	"GO:0043462"	"regulation of ATPase activity"	108	8	5.3	202	"0.07610"	"0.07610"	"0.16010"
"203"	"GO:0006066"	"alcohol metabolic process"	371	20	18.2	203	"0.12812"	"0.07623"	"0.76554"
"204"	"GO:0022607"	"cellular component assembly"	3166	162	155.34	204	"0.91329"	"0.07631"	"0.01311"
"205"	"GO:0050886"	"endocrine process"	136	12	6.67	205	"0.07632"	"0.07632"	"0.03479"
"206"	"GO:2000377"	"regulation of reactive oxygen species me..."	204	12	10.01	206	"0.07717"	"0.07717"	"0.29993"
"207"	"GO:0007178"	"transmembrane receptor protein serine/th..."	476	32	23.35	207	"0.00220"	"0.07754"	"0.68916"
"208"	"GO:0002792"	"negative regulation of peptide secretion"	143	9	7.02	208	"0.17458"	"0.07794"	"0.45218"
"210"	"GO:0043149"	"stress fiber assembly"	108	7	5.3	210	"0.07911"	"0.07911"	"0.27919"
"211"	"GO:0051705"	"multi-organism behavior"	258	18	12.66	211	"0.42517"	"0.08163"	"0.34811"
"212"	"GO:0035270"	"endocrine system development"	191	16	9.37	212	"0.08191"	"0.08191"	"0.02540"
"214"	"GO:0051604"	"protein maturation"	359	25	17.61	214	"0.00484"	"0.08205"	"0.02321"
"215"	"GO:0001942"	"hair follicle development"	166	9	8.14	215	"0.08209"	"0.08209"	"0.42824"
"216"	"GO:0009108"	"coenzyme biosynthetic process"	125	8	6.13	216	"0.08209"	"0.08209"	"0.27045"
"219"	"GO:0050810"	"regulation of steroid biosynthetic proce..."	123	10	6.03	219	"0.08407"	"0.08407"	"0.07968"
"220"	"GO:0022600"	"digestive system process"	139	15	6.82	220	"0.08433"	"0.08433"	"0.00330"
"222"	"GO:0060548"	"negative regulation of cell death"	1103	56	54.12	222	"0.77419"	"0.08577"	"0.37186"
"223"	"GO:0045664"	"regulation of neuron differentiation"	1021	51	50.09	223	"0.62530"	"0.08726"	"0.00363"
"224"	"GO:0032846"	"positive regulation of homeostatic proce..."	258	14	12.66	224	"0.08743"	"0.08743"	"0.38783"
"225"	"GO:0030217"	"T cell differentiation"	197	14	9.67	225	"0.08786"	"0.08786"	"0.10443"
"226"	"GO:0070588"	"calcium ion transmembrane transport"	213	13	10.45	226	"0.03731"	"0.08821"	"0.24915"
"227"	"GO:0006986"	"response to unfolded protein"	199	13	9.76	227	"0.28653"	"0.08843"	"0.15714"
"228"	"GO:0006090"	"pyruvate metabolic process"	144	10	7.07	228	"0.09112"	"0.09018"	"0.05319"
"230"	"GO:0014032"	"neural crest cell development"	111	8	5.45	230	"0.09094"	"0.09094"	"0.17784"
"232"	"GO:0051239"	"regulation of multicellular organismal p..."	3105	171	152.34	232	"0.38326"	"0.09226"	"0.00200"
"233"	"GO:0042981"	"regulation of apoptotic process"	1508	80	73.99	233	"0.76620"	"0.09241"	"0.18316"
"235"	"GO:0048864"	"stem cell development"	163	10	8	235	"0.05301"	"0.09305"	"0.72863"
"236"	"GO:0048067"	"cuticle pigmentation"	101	11	4.96	236	"0.09362"	"0.09362"	"0.01037"
"238"	"GO:0006835"	"dicarboxylic acid transport"	109	8	5.35	238	"0.09435"	"0.09435"	"0.16592"
"239"	"GO:0071229"	"cellular response to acid chemical"	208	12	10.21	239	"0.09512"	"0.09512"	"0.32323"
"240"	"GO:2001234"	"negative regulation of apoptotic signali..."	274	22	13.44	240	"0.01637"	"0.09568"	"0.02432"
"241"	"GO:0048514"	"blood vessel morphogenesis"	528	33	25.91	241	"0.36326"	"0.09627"	"0.47453"
"244"	"GO:0050907"	"detection of chemical stimulus involved ..."	140	7	6.87	244	"0.94249"	"0.09720"	"0.18441"
"245"	"GO:0090277"	"positive regulation of peptide hormone s..."	129	12	6.33	245	"0.09753"	"0.09753"	"0.02432"
"246"	"GO:0051345"	"positive regulation of hydrolase activit..."	620	38	30.42	246	"0.04526"	"0.09754"	"0.17366"
"251"	"GO:1903039"	"positive regulation of leukocyte cell-ce..."	106	9	5.2	251	"0.10016"	"0.10016"	"0.07562"
"254"	"GO:0051047"	"positive regulation of secretion"	488	42	23.94	254	"0.03126"	"0.10218"	"0.03204"
"255"	"GO:0050764"	"regulation of phagocytosis"	123	7	6.03	255	"0.10276"	"0.10276"	"0.39939"
"256"	"GO:1903214"	"regulation of protein targeting to mitoc..."	141	7	6.92	256	"0.03515"	"0.10333"	"0.39581"
"257"	"GO:0046622"	"positive regulation of organ growth"	122	8	5.99	257	"0.10350"	"0.10350"	"0.24946"
"258"	"GO:0050778"	"positive regulation of immune response"	424	26	20.8	258	"0.04732"	"0.10373"	"0.30671"
"259"	"GO:0006694"	"steroid biosynthetic process"	229	18	11.24	259	"0.00935"	"0.10387"	"0.14336"
"262"	"GO:0051153"	"regulation of striated muscle cell diffe..."	159	14	7.8	262	"0.10518"	"0.10518"	"0.02421"
"263"	"GO:0072330"	"monocarboxylic acid biosynthetic process"	233	22	11.43	263	"0.00995"	"0.10752"	"0.06138"
"264"	"GO:1904064"	"positive regulation of cation transmembr..."	169	10	8.29	264	"0.10832"	"0.10832"	"0.31688"
"265"	"GO:0045089"	"positive regulation of innate immune res..."	236	15	11.58	265	"0.05899"	"0.10967"	"0.50001"
"266"	"GO:0051054"	"positive regulation of DNA metabolic pro..."	280	15	13.74	266	"0.10973"	"0.10973"	"0.40052"
"267"	"GO:0046651"	"lymphocyte proliferation"	196	15	9.62	267	"0.52144"	"0.10999"	"0.08195"
"268"	"GO:0090317"	"negative regulation of intracellular pro..."	138	7	6.77	268	"0.11026"	"0.11026"	"0.51948"
"269"	"GO:0097164"	"ammonium ion metabolic process"	244	19	11.97	269	"0.11052"	"0.11052"	"0.03099"
"270"	"GO:0051402"	"neuron apoptotic process"	380	28	18.64	270	"0.33986"	"0.11071"	"0.06617"
"272"	"GO:0007586"	"digestion"	178	16	8.73	272	"0.07949"	"0.11152"	"0.85455"
"273"	"GO:0051701"	"interaction with host"	161	9	7.9	273	"0.11240"	"0.11240"	"0.39281"
"274"	"GO:0045844"	"positive regulation of striated muscle t..."	132	9	6.48	274	"0.11458"	"0.11458"	"0.19962"
"275"	"GO:0071684"	"organism emergence from protective struc..."	108	8	5.3	275	"0.11494"	"0.11494"	"0.16010"
"276"	"GO:0090276"	"regulation of peptide hormone secretion"	245	21	12.02	276	"0.05097"	"0.11600"	"0.44654"
"277"	"GO:0022610"	"biological adhesion"	1249	66	61.28	277	"0.30834"	"0.11607"	"0.03377"
"278"	"GO:0002118"	"aggressive behavior"	178	13	8.73	278	"0.71770"	"0.11663"	"0.02959"
"279"	"GO:0072657"	"protein localization to membrane"	534	28	26.2	279	"0.06162"	"0.11673"	"0.49607"
"281"	"GO:0060675"	"ureteric bud morphogenesis"	113	6	5.54	281	"0.11758"	"0.11758"	"0.48153"
"282"	"GO:0051149"	"positive regulation of muscle cell diffe..."	113	9	5.54	282	"0.11787"	"0.11787"	"0.10269"
"283"	"GO:0006606"	"protein import into nucleus"	411	22	20.17	283	"0.03334"	"0.11802"	"0.77137"
"284"	"GO:0009132"	"nucleoside diphosphate metabolic process"	134	9	6.57	284	"0.12852"	"0.11876"	"0.13961"
"286"	"GO:0030326"	"embryonic limb morphogenesis"	213	12	10.45	286	"0.02944"	"0.11994"	"0.24644"
"287"	"GO:0035264"	"multicellular organism growth"	768	48	37.68	287	"0.00718"	"0.12067"	"0.08394"
"288"	"GO:0043410"	"positive regulation of MAPK cascade"	464	23	22.77	288	"0.61721"	"0.12102"	"0.09870"
"289"	"GO:0006950"	"response to stress"	3453	178	169.42	289	"0.55069"	"0.12156"	"1.00000"
"290"	"GO:1904591"	"positive regulation of protein import"	163	14	8	290	"0.02632"	"0.12165"	"0.18025"
"293"	"GO:0001934"	"positive regulation of protein phosphory..."	800	45	39.25	293	"0.18467"	"0.12232"	"0.11161"
"295"	"GO:0046879"	"hormone secretion"	377	35	18.5	295	"0.03639"	"0.12329"	"0.09260"
"296"	"GO:0031099"	"regeneration"	212	19	10.4	296	"0.19559"	"0.12385"	"0.00430"
"297"	"GO:0016331"	"morphogenesis of embryonic epithelium"	437	23	21.44	297	"0.52059"	"0.12452"	"0.47142"
"298"	"GO:0090130"	"tissue migration"	525	30	25.76	298	"0.09678"	"0.12474"	"0.08230"
"304"	"GO:0046323"	"glucose import"	113	7	5.54	304	"0.12737"	"0.12737"	"0.31853"
"305"	"GO:0015850"	"organic hydroxy compound transport"	244	14	11.97	305	"0.12819"	"0.12819"	"0.31105"
"306"	"GO:0050863"	"regulation of T cell activation"	197	12	9.67	306	"0.12859"	"0.12859"	"0.26042"
"307"	"GO:0001667"	"ameboidal-type cell migration"	645	36	31.65	307	"0.13621"	"0.12904"	"0.31442"
"308"	"GO:1904019"	"epithelial cell apoptotic process"	122	10	5.99	308	"0.12974"	"0.12974"	"0.07636"
"311"	"GO:0051170"	"nuclear import"	417	22	20.46	311	"0.02004"	"0.13006"	"1.00000"
"312"	"GO:0071773"	"cellular response to BMP stimulus"	246	18	12.07	312	"0.05258"	"0.13021"	"1.00000"
"313"	"GO:0061371"	"determination of heart left/right asymme..."	111	8	5.45	313	"0.63091"	"0.13103"	"1.00000"
"314"	"GO:0072001"	"renal system development"	455	25	22.32	314	"0.15739"	"0.13160"	"0.79809"
"315"	"GO:0055065"	"metal ion homeostasis"	562	29	27.57	315	"0.73892"	"0.13315"	"0.43587"
"316"	"GO:0030879"	"mammary gland development"	197	12	9.67	316	"0.12552"	"0.13361"	"0.11266"
"317"	"GO:0050920"	"regulation of chemotaxis"	200	11	9.81	317	"0.30631"	"0.13375"	"0.56498"
"318"	"GO:0001707"	"mesoderm formation"	134	13	6.57	318	"0.13382"	"0.13382"	"0.01421"
"321"	"GO:0071345"	"cellular response to cytokine stimulus"	356	20	17.47	321	"0.09779"	"0.13581"	"0.30842"
"322"	"GO:0043648"	"dicarboxylic acid metabolic process"	109	8	5.35	322	"0.13682"	"0.13682"	"0.16592"
"324"	"GO:0022411"	"cellular component disassembly"	555	29	27.23	324	"0.42876"	"0.13690"	"0.15574"
"325"	"GO:0090502"	"RNA phosphodiester bond hydrolysis, endo..."	118	6	5.79	325	"0.13713"	"0.13713"	"0.52409"
"326"	"GO:0050678"	"regulation of epithelial cell proliferat..."	370	20	18.15	326	"0.75937"	"0.13756"	"0.29822"
"327"	"GO:1903409"	"reactive oxygen species biosynthetic pro..."	109	8	5.35	327	"0.13794"	"0.13794"	"0.16592"
"329"	"GO:0006520"	"cellular amino acid metabolic process"	355	26	17.42	329	"0.10372"	"0.13844"	"0.56738"
"330"	"GO:0060021"	"palate development"	139	12	6.82	330	"0.13854"	"0.13854"	"0.04015"
"331"	"GO:0051960"	"regulation of nervous system development"	1364	67	66.92	331	"0.70136"	"0.13904"	"0.16666"
"332"	"GO:0022416"	"chaeta development"	179	11	8.78	332	"0.14004"	"0.14004"	"0.26342"
"333"	"GO:0010243"	"response to organonitrogen compound"	971	62	47.64	333	"0.03124"	"0.14113"	"0.13600"
"334"	"GO:0035914"	"skeletal muscle cell differentiation"	141	13	6.92	334	"0.14157"	"0.14157"	"0.02090"
"335"	"GO:0055085"	"transmembrane transport"	982	64	48.18	335	"0.01735"	"0.14174"	"0.01173"
"336"	"GO:0015031"	"protein transport"	1951	103	95.72	336	"0.45077"	"0.14230"	"0.42285"
