lcl|NC_015762.1_mrna_XM_012316519.2_1	LOC100649911
lcl|NC_015762.1_mrna_XM_003392841.3_47	LOC100646091
lcl|NC_015762.1_mrna_XM_003392840.3_48	LOC100645973
lcl|NC_015762.1_mrna_XM_012313417.2_49	LOC100645666
lcl|NC_015762.1_miscrna_XR_002308094.1_50	LOC100645666
lcl|NC_015762.1_mrna_XM_012313531.2_51	LOC100645666
lcl|NC_015762.1_miscrna_XR_001099129.2_52	LOC100645666
lcl|NC_015762.1_mrna_XM_003392837.3_53	LOC100645666
lcl|NC_015762.1_mrna_XM_003392838.3_54	LOC100645787
lcl|NC_015762.1_mrna_XM_003392839.3_55	LOC100645787
lcl|NC_015762.1_mrna_XM_003392836.3_56	LOC100645550
lcl|NC_015762.1_mrna_XM_012313112.2_57	LOC100649317
lcl|NC_015762.1_mrna_XM_020863836.1_58	LOC100645431
lcl|NC_015762.1_mrna_XM_012316843.2_59	LOC100645431
lcl|NC_015762.1_mrna_XM_020863844.1_60	LOC100645431
lcl|NC_015762.1_mrna_XM_020863840.1_61	LOC100645431
lcl|NC_015762.1_ncrna_XR_002308919.1_62	LOC105666164
lcl|NC_015762.1_mrna_XM_012313034.1_63	LOC100645230
lcl|NC_015762.1_mrna_XM_003392835.3_64	LOC100645110
lcl|NC_015762.1_mrna_XM_003392834.3_65	LOC100644991
lcl|NC_015762.1_mrna_XM_003392833.2_66	LOC100644871
lcl|NC_015762.1_mrna_XM_003392825.3_67	LOC100644046
lcl|NC_015762.1_mrna_XM_012312015.2_68	LOC100644046
lcl|NC_015762.1_mrna_XM_012312067.2_69	LOC100644046
lcl|NC_015762.1_mrna_XM_020864229.1_70	LOC100644046
lcl|NC_015762.1_mrna_XM_012312219.2_71	LOC100644628
lcl|NC_015762.1_mrna_XM_012312415.2_72	LOC100644628
lcl|NC_015762.1_mrna_XM_020864257.1_73	LOC100644628
lcl|NC_015762.1_mrna_XM_020864253.1_74	LOC100644628
lcl|NC_015762.1_mrna_XM_012312364.2_75	LOC100644628
lcl|NC_015762.1_mrna_XM_012312156.2_76	LOC100644628
lcl|NC_015762.1_mrna_XM_020864235.1_77	LOC100644628
lcl|NC_015762.1_mrna_XM_012312318.2_78	LOC100644628
lcl|NC_015762.1_mrna_XM_012312549.2_79	LOC100649198
lcl|NC_015762.1_mrna_XM_003392827.3_80	LOC100644236
lcl|NC_015762.1_mrna_XM_020864286.1_81	LOC110119517
lcl|NC_015762.1_mrna_XM_020864283.1_82	LOC100644746
lcl|NC_015762.1_mrna_XM_012311810.1_83	LOC100643837
lcl|NC_015762.1_mrna_XM_003392823.3_84	LOC100643837
lcl|NC_015762.1_mrna_XM_012311747.2_85	LOC100643837
lcl|NC_015762.1_mrna_XM_012311867.2_86	LOC100643837
lcl|NC_015762.1_mrna_XM_003392828.3_87	LOC100644354
lcl|NC_015762.1_mrna_XM_003392829.3_88	LOC100644354
lcl|NC_015762.1_mrna_XM_012311183.2_89	LOC100643393
lcl|NC_015762.1_mrna_XM_012311377.2_90	LOC100643270
lcl|NC_015762.1_mrna_XM_012311106.2_91	LOC100643027
lcl|NC_015762.1_mrna_XM_003392820.3_92	LOC100643514
lcl|NC_015762.1_mrna_XM_012310957.2_93	LOC100643147
lcl|NC_015762.1_mrna_XM_012310646.2_94	LOC100642910
lcl|NC_015762.1_mrna_XM_003392817.3_95	LOC100642910
lcl|NC_015762.1_mrna_XM_003392816.3_96	LOC100642790
lcl|NC_015762.1_mrna_XM_003392815.3_97	LOC100642672
lcl|NC_015762.1_mrna_XM_003392814.3_98	LOC100642550
lcl|NC_015762.1_mrna_XM_003392813.3_99	LOC100642432
lcl|NC_015762.1_mrna_XM_012310222.2_100	LOC100642432
lcl|NC_015762.1_mrna_XM_003392812.3_101	LOC100642312
lcl|NC_015762.1_mrna_XM_020864991.1_102	LOC100648963
lcl|NC_015762.1_mrna_XM_020864990.1_103	LOC100648847
lcl|NC_015762.1_mrna_XM_003392895.3_104	LOC100642791
lcl|NC_015762.1_mrna_XM_012309635.2_105	LOC100648733
lcl|NC_015762.1_mrna_XM_003392888.3_106	LOC100652148
lcl|NC_015762.1_mrna_XM_012309400.2_107	LOC100642551
lcl|NC_015762.1_mrna_XM_012309462.2_108	LOC100642551
lcl|NC_015762.1_mrna_XM_003392894.3_109	LOC100642673
lcl|NC_015762.1_mrna_XM_003392897.3_110	LOC100643028
lcl|NC_015762.1_mrna_XM_012309217.1_111	LOC100642313
lcl|NC_015762.1_mrna_XM_012309160.1_112	LOC100642313
lcl|NC_015762.1_mrna_XM_020862935.1_113	LOC100642433
lcl|NC_015762.1_mrna_XM_012308923.1_114	LOC100642433
lcl|NC_015762.1_mrna_XM_020862944.1_115	LOC100642433
lcl|NC_015762.1_mrna_XM_012308977.2_116	LOC100642433
lcl|NC_015762.1_mrna_XM_020862930.1_117	LOC100642433
lcl|NC_015762.1_mrna_XM_003392896.3_118	LOC100642911
lcl|NC_015762.1_mrna_XM_020868369.1_119	LOC100648617
lcl|NC_015762.1_mrna_XM_003392890.3_120	LOC100642190
lcl|NC_015762.1_mrna_XM_012308668.2_121	LOC100642190
lcl|NC_015762.1_mrna_XM_012308562.2_122	LOC100642190
lcl|NC_015762.1_mrna_XM_012308609.1_123	LOC100642190
lcl|NC_015762.1_mrna_XM_003392887.3_124	LOC100652027
lcl|NC_015762.1_mrna_XM_003392885.3_125	LOC100651827
lcl|NC_015762.1_mrna_XM_012308345.2_126	LOC100651827
lcl|NC_015762.1_mrna_XM_012308165.2_127	LOC100651827
lcl|NC_015762.1_mrna_XM_003392884.3_128	LOC100651709
lcl|NC_015762.1_mrna_XM_003392883.3_129	LOC100651591
lcl|NC_015762.1_mrna_XM_020864373.1_130	LOC110119538
lcl|NC_015762.1_mrna_XM_020864366.1_131	LOC110119538
lcl|NC_015762.1_mrna_XM_020864371.1_132	LOC110119538
lcl|NC_015762.1_mrna_XM_003392882.3_133	LOC100651474
lcl|NC_015762.1_mrna_XM_020864355.1_134	LOC100651474
lcl|NC_015762.1_miscrna_XR_002308011.1_135	LOC110119538
lcl|NC_015762.1_miscrna_XR_002308013.1_136	LOC110119538
lcl|NC_015762.1_mrna_XM_012307699.1_137	LOC100648500
lcl|NC_015762.1_mrna_XM_012321140.2_138	LOC100648500
lcl|NC_015762.1_ncrna_XR_001099795.1_139	LOC105667172
lcl|NC_015762.1_ncrna_XR_001099798.2_140	LOC105667172
lcl|NC_015762.1_ncrna_XR_001099793.2_141	LOC105667172
lcl|NC_015762.1_mrna_XM_020864380.1_142	LOC100651235
lcl|NC_015762.1_mrna_XM_020864378.1_143	LOC100651235
lcl|NC_015762.1_mrna_XM_012320962.2_144	LOC100648385
lcl|NC_015762.1_mrna_XM_003392880.3_145	LOC100651113
lcl|NC_015762.1_mrna_XM_012320892.2_146	LOC100651113
lcl|NC_015762.1_mrna_XM_020865369.1_147	LOC100650872
lcl|NC_015762.1_mrna_XM_020865359.1_148	LOC100650872
lcl|NC_015762.1_mrna_XM_020865363.1_149	LOC100650872
lcl|NC_015762.1_mrna_XM_012320630.2_150	LOC100650872
lcl|NC_015762.1_mrna_XM_020865367.1_151	LOC100650872
lcl|NC_015762.1_mrna_XM_012314213.2_152	LOC100650754
lcl|NC_015762.1_mrna_XM_012315382.2_153	LOC100650754
lcl|NC_015762.1_mrna_XM_012311965.2_154	LOC100650754
lcl|NC_015762.1_mrna_XM_012312495.2_155	LOC100650754
lcl|NC_015762.1_mrna_XM_012311348.2_156	LOC100650754
lcl|NC_015762.1_mrna_XM_020865341.1_157	LOC100650754
lcl|NC_015762.1_mrna_XM_003392877.3_158	LOC100650754
lcl|NC_015762.1_mrna_XM_012313612.2_159	LOC100650754
lcl|NC_015762.1_mrna_XM_012316518.2_160	LOC100650754
lcl|NC_015762.1_mrna_XM_012315964.2_161	LOC100650754
lcl|NC_015762.1_mrna_XM_012317619.2_162	LOC100650754
lcl|NC_015762.1_mrna_XM_020865350.1_163	LOC100650754
lcl|NC_015762.1_mrna_XM_020865345.1_164	LOC100650754
lcl|NC_015762.1_mrna_XM_012318198.2_165	LOC100650754
lcl|NC_015762.1_mrna_XM_020865333.1_166	LOC100650754
lcl|NC_015762.1_mrna_XM_012318962.2_167	LOC100650629
lcl|NC_015762.1_mrna_XM_020865379.1_168	LOC105666912
lcl|NC_015762.1_mrna_XM_012320314.2_169	LOC100650511
lcl|NC_015762.1_mrna_XM_012320415.2_170	LOC100650511
lcl|NC_015762.1_mrna_XM_012320192.2_171	LOC100650511
lcl|NC_015762.1_mrna_XM_012320538.2_172	LOC100650388
lcl|NC_015762.1_mrna_XM_012320493.2_173	LOC100650388
lcl|NC_015762.1_mrna_XM_020865376.1_174	LOC100650265
lcl|NC_015762.1_mrna_XM_012309634.1_175	LOC100650265
lcl|NC_015762.1_mrna_XM_003392872.2_176	LOC100650139
lcl|NC_015762.1_mrna_XM_012308785.2_177	LOC100650023
lcl|NC_015762.1_mrna_XM_012307672.2_178	LOC100650023
lcl|NC_015762.1_mrna_XM_003392871.3_179	LOC100650023
lcl|NC_015762.1_mrna_XM_012310530.2_180	LOC100650023
lcl|NC_015762.1_mrna_XM_012316241.2_181	LOC100650023
lcl|NC_015762.1_mrna_XM_012320313.2_182	LOC100650023
lcl|NC_015762.1_mrna_XM_012320868.2_183	LOC100650023
lcl|NC_015762.1_mrna_XM_012316587.1_184	LOC100648268
lcl|NC_015762.1_ncrna_XR_001099734.2_185	LOC105667089
lcl|NC_015762.1_mrna_XM_003392922.3_186	LOC100645974
lcl|NC_015762.1_mrna_XM_003392921.3_187	LOC100645858
lcl|NC_015762.1_mrna_XM_003392920.3_188	LOC100645738
lcl|NC_015762.1_mrna_XM_012320160.2_189	LOC100645616
lcl|NC_015762.1_mrna_XM_012320134.2_190	LOC100645512
lcl|NC_015762.1_mrna_XM_003392917.3_191	LOC100645399
lcl|NC_015762.1_mrna_XM_003392916.3_192	LOC100645277
lcl|NC_015762.1_mrna_XM_003392915.3_193	LOC100645155
lcl|NC_015762.1_mrna_XM_020864550.1_194	LOC100644951
lcl|NC_015762.1_mrna_XM_003392913.3_195	LOC100644951
lcl|NC_015762.1_mrna_XM_012319738.2_196	LOC100644834
lcl|NC_015762.1_mrna_XM_003392912.2_197	LOC100644834
lcl|NC_015762.1_mrna_XM_012319789.2_198	LOC100644834
lcl|NC_015762.1_mrna_XM_012320217.2_199	LOC100646647
lcl|NC_015762.1_mrna_XM_020863757.1_200	LOC100644709
lcl|NC_015762.1_mrna_XM_003392911.3_201	LOC100644709
lcl|NC_015762.1_mrna_XM_012319282.2_202	LOC100644709
lcl|NC_015762.1_mrna_XM_012319213.2_203	LOC100644709
lcl|NC_015762.1_mrna_XM_012319151.2_204	LOC100644709
lcl|NC_015762.1_mrna_XM_012319412.2_205	LOC100646400
lcl|NC_015762.1_mrna_XM_012319539.2_206	LOC100644590
lcl|NC_015762.1_mrna_XM_012319595.2_207	LOC100644590
lcl|NC_015762.1_mrna_XM_012319486.2_208	LOC100644590
lcl|NC_015762.1_mrna_XM_003392909.3_209	LOC100644472
lcl|NC_015762.1_mrna_XM_012318963.2_210	LOC100644279
lcl|NC_015762.1_mrna_XM_003392907.3_211	LOC100644159
lcl|NC_015762.1_mrna_XM_003392906.3_212	LOC100644047
lcl|NC_015762.1_mrna_XM_020863766.1_213	LOC100644047
lcl|NC_015762.1_mrna_XM_020863772.1_214	LOC100643838
lcl|NC_015762.1_mrna_XM_020863782.1_215	LOC100643838
lcl|NC_015762.1_mrna_XM_003392904.3_216	LOC100643838
lcl|NC_015762.1_mrna_XM_020863769.1_217	LOC100643838
lcl|NC_015762.1_mrna_XM_020863768.1_218	LOC100643838
lcl|NC_015762.1_mrna_XM_003392903.3_219	LOC100643719
lcl|NC_015762.1_mrna_XM_012318496.2_220	LOC100643719
lcl|NC_015762.1_mrna_XM_012318251.2_221	LOC100643599
lcl|NC_015762.1_mrna_XM_012318300.2_222	LOC100643599
lcl|NC_015762.1_mrna_XM_003392902.3_223	LOC100643599
lcl|NC_015762.1_mrna_XM_012318165.2_224	LOC100643599
lcl|NC_015762.1_mrna_XM_012318344.2_225	LOC100643599
lcl|NC_015762.1_mrna_XM_012317620.2_226	LOC105666614
lcl|NC_015762.1_mrna_XM_012317700.2_227	LOC105666622
lcl|NC_015762.1_mrna_XM_012317831.2_228	LOC100643394
lcl|NC_015762.1_mrna_XM_012317780.2_229	LOC100643394
lcl|NC_015762.1_mrna_XM_012318075.2_230	LOC100643394
lcl|NC_015762.1_mrna_XM_012318015.2_231	LOC100643394
lcl|NC_015762.1_mrna_XM_012317480.1_232	LOC100643148
lcl|NC_015762.1_mrna_XM_012317528.2_233	LOC100643148
lcl|NC_015762.1_mrna_XM_003392899.3_234	LOC100643271
lcl|NC_015762.1_mrna_XM_012317157.2_235	LOC105666565
lcl|NC_015762.1_mrna_XM_020862909.1_236	LOC105666565
lcl|NC_015762.1_mrna_XM_012317258.2_237	LOC100646280
lcl|NC_015762.1_mrna_XM_012320230.2_238	LOC100648081
lcl|NC_015762.1_mrna_XM_003393098.3_239	LOC100647954
lcl|NC_015762.1_mrna_XM_003393110.3_240	LOC100649722
lcl|NC_015762.1_mrna_XM_020864832.1_241	LOC100648195
lcl|NC_015762.1_mrna_XM_020864836.1_242	LOC100648195
lcl|NC_015762.1_mrna_XM_012320287.2_243	LOC100648195
lcl|NC_015762.1_mrna_XM_020864839.1_244	LOC100648195
lcl|NC_015762.1_mrna_XM_020864844.1_245	LOC100648195
lcl|NC_015762.1_mrna_XM_020864852.1_246	LOC100648195
lcl|NC_015762.1_mrna_XM_003393117.3_247	LOC100650672
lcl|NC_015762.1_mrna_XM_020864866.1_248	LOC100650672
lcl|NC_015762.1_mrna_XM_003393118.3_249	LOC100650798
lcl|NC_015762.1_mrna_XM_012320252.2_250	LOC100650798
lcl|NC_015762.1_trna_251	TRNAI-AAU
lcl|NC_015762.1_ncrna_XR_002307715.1_252	LOC110119319
lcl|NC_015762.1_mrna_XM_020863620.1_253	LOC100650914
lcl|NC_015762.1_miscrna_XR_002307819.1_254	LOC100650914
lcl|NC_015762.1_miscrna_XR_001099740.2_255	LOC100650914
lcl|NC_015762.1_miscrna_XR_002307814.1_256	LOC100650914
lcl|NC_015762.1_miscrna_XR_002307818.1_257	LOC100650914
lcl|NC_015762.1_ncrna_XR_002307820.1_258	LOC110119390
lcl|NC_015762.1_mrna_XM_020863603.1_259	LOC100648310
lcl|NC_015762.1_mrna_XM_012320328.2_260	LOC100648310
lcl|NC_015762.1_mrna_XM_012320329.2_261	LOC100648310
lcl|NC_015762.1_mrna_XM_012320330.2_262	LOC100648310
lcl|NC_015762.1_mrna_XM_020863616.1_263	LOC110119387
lcl|NC_015762.1_mrna_XM_020868651.1_264	LOC105665841
lcl|NC_015762.1_mrna_XM_020863611.1_265	LOC110119386
lcl|NC_015762.1_mrna_XM_020863613.1_266	LOC110119386
lcl|NC_015762.1_mrna_XM_020865605.1_267	LOC100651029
lcl|NC_015762.1_mrna_XM_003393120.3_268	LOC100651029
lcl|NC_015762.1_mrna_XM_003393123.3_269	LOC100651394
lcl|NC_015762.1_mrna_XM_020865593.1_270	LOC100651150
lcl|NC_015762.1_mrna_XM_012320361.2_271	LOC100651150
lcl|NC_015762.1_mrna_XM_012320368.2_272	LOC100651150
lcl|NC_015762.1_mrna_XM_012320380.2_273	LOC100651273
lcl|NC_015762.1_mrna_XM_003393122.3_274	LOC100651273
lcl|NC_015762.1_mrna_XM_012320395.2_275	LOC100651273
lcl|NC_015762.1_mrna_XM_012320388.1_276	LOC100651273
lcl|NC_015762.1_mrna_XM_012320402.1_277	LOC100651273
lcl|NC_015762.1_mrna_XM_003393124.2_278	LOC100651512
lcl|NC_015762.1_mrna_XM_003393129.3_279	LOC100652102
lcl|NC_015762.1_mrna_XM_003393125.3_280	LOC100651629
lcl|NC_015762.1_mrna_XM_020864933.1_281	LOC100651864
lcl|NC_015762.1_mrna_XM_003393127.3_282	LOC100651864
lcl|NC_015762.1_mrna_XM_003393128.3_283	LOC100651980
lcl|NC_015762.1_mrna_XM_003393126.3_284	LOC100651744
lcl|NC_015762.1_mrna_XM_012320464.2_285	LOC100652219
lcl|NC_015762.1_mrna_XM_012320453.2_286	LOC100652219
lcl|NC_015762.1_mrna_XM_020864918.1_287	LOC100642191
lcl|NC_015762.1_mrna_XM_003393131.3_288	LOC100642191
lcl|NC_015762.1_mrna_XM_003393133.2_289	LOC100642552
lcl|NC_015762.1_mrna_XM_012320495.2_290	LOC100642434
lcl|NC_015762.1_mrna_XM_003393132.3_291	LOC100642314
lcl|NC_015762.1_mrna_XM_012320509.2_292	LOC100642793
lcl|NC_015762.1_mrna_XM_012320513.2_293	LOC100642674
lcl|NC_015762.1_mrna_XM_003393137.3_294	LOC100642913
lcl|NC_015762.1_ncrna_XR_001099753.2_295	LOC105667131
lcl|NC_015762.1_mrna_XM_003393136.3_296	LOC100642913
lcl|NC_015762.1_mrna_XM_012320545.2_297	LOC100646767
lcl|NC_015762.1_mrna_XM_003392929.2_298	LOC100646890
lcl|NC_015762.1_mrna_XM_003392930.3_299	LOC100647008
lcl|NC_015762.1_mrna_XM_003392931.3_300	LOC100647130
lcl|NC_015762.1_mrna_XM_012320571.2_301	LOC100647130
lcl|NC_015762.1_mrna_XM_012320575.2_302	LOC100647130
lcl|NC_015762.1_mrna_XM_012320581.2_303	LOC100647130
lcl|NC_015762.1_mrna_XM_012320587.2_304	LOC100647248
lcl|NC_015762.1_mrna_XM_003393102.3_305	LOC100648542
lcl|NC_015762.1_mrna_XM_012320601.2_306	LOC100648542
lcl|NC_015762.1_mrna_XM_020863508.1_307	LOC100648542
lcl|NC_015762.1_mrna_XM_020863485.1_308	LOC100648542
lcl|NC_015762.1_mrna_XM_003392932.3_309	LOC100647365
lcl|NC_015762.1_mrna_XM_012320619.2_310	LOC100647365
lcl|NC_015762.1_mrna_XM_003392933.3_311	LOC100647487
lcl|NC_015762.1_mrna_XM_020862968.1_312	LOC100648663
lcl|NC_015762.1_mrna_XM_003392935.3_313	LOC100647714
lcl|NC_015762.1_mrna_XM_020868513.1_314	LOC100647832
lcl|NC_015762.1_mrna_XM_020868510.1_315	LOC100647832
lcl|NC_015762.1_mrna_XM_003392936.3_316	LOC100647832
lcl|NC_015762.1_mrna_XM_020868524.1_317	LOC110120331
lcl|NC_015762.1_mrna_XM_003392937.3_318	LOC100647952
lcl|NC_015762.1_mrna_XM_012320706.2_319	LOC100648155
lcl|NC_015762.1_mrna_XM_003392939.3_320	LOC100648155
lcl|NC_015762.1_mrna_XM_003392940.3_321	LOC100648269
lcl|NC_015762.1_mrna_XM_012320689.2_322	LOC100648269
lcl|NC_015762.1_mrna_XM_003392941.3_323	LOC100648386
lcl|NC_015762.1_mrna_XM_012320744.2_324	LOC100648501
lcl|NC_015762.1_mrna_XM_012320733.2_325	LOC100648501
lcl|NC_015762.1_mrna_XM_012320740.2_326	LOC100648501
lcl|NC_015762.1_mrna_XM_012320750.2_327	LOC100648501
lcl|NC_015762.1_mrna_XM_003392944.2_328	LOC100648734
lcl|NC_015762.1_mrna_XM_003392945.3_329	LOC100648848
lcl|NC_015762.1_mrna_XM_003392946.3_330	LOC100648964
lcl|NC_015762.1_mrna_XM_020868505.1_331	LOC100648964
lcl|NC_015762.1_mrna_XM_003392943.3_332	LOC100648618
lcl|NC_015762.1_mrna_XM_003392947.3_333	LOC100649162
lcl|NC_015762.1_mrna_XM_012320795.2_334	LOC100649283
lcl|NC_015762.1_mrna_XM_020865475.1_335	LOC100649283
lcl|NC_015762.1_mrna_XM_020865553.1_336	LOC100649283
lcl|NC_015762.1_mrna_XM_012320804.2_337	LOC100649283
lcl|NC_015762.1_mrna_XM_020865567.1_338	LOC100649283
lcl|NC_015762.1_ncrna_XR_002307945.1_339	LOC110119447
lcl|NC_015762.1_mrna_XM_003392951.3_340	LOC100649609
lcl|NC_015762.1_mrna_XM_020866128.1_341	LOC100649485
lcl|NC_015762.1_mrna_XM_020866079.1_342	LOC100649485
lcl|NC_015762.1_mrna_XM_003392950.3_343	LOC100649485
lcl|NC_015762.1_mrna_XM_012320909.2_344	LOC100649721
lcl|NC_015762.1_mrna_XM_012320904.2_345	LOC100649721
lcl|NC_015762.1_mrna_XM_012320901.2_346	LOC100649721
lcl|NC_015762.1_mrna_XM_012320876.2_347	LOC100649721
lcl|NC_015762.1_mrna_XM_020866335.1_348	LOC100649721
lcl|NC_015762.1_mrna_XM_003392952.3_349	LOC100649721
lcl|NC_015762.1_mrna_XM_012320898.1_350	LOC100649721
lcl|NC_015762.1_mrna_XM_020866319.1_351	LOC100649721
lcl|NC_015762.1_mrna_XM_020866350.1_352	LOC100649721
lcl|NC_015762.1_mrna_XM_020866292.1_353	LOC100649721
lcl|NC_015762.1_mrna_XM_020866209.1_354	LOC100649721
lcl|NC_015762.1_mrna_XM_012320869.2_355	LOC100651310
lcl|NC_015762.1_mrna_XM_012320927.2_356	LOC105667166
lcl|NC_015762.1_mrna_XM_012320919.2_357	LOC105665635
lcl|NC_015762.1_mrna_XM_012320937.2_358	LOC100648777
lcl|NC_015762.1_mrna_XM_003392954.3_359	LOC100649912
lcl|NC_015762.1_mrna_XM_003392963.3_360	LOC100651065
lcl|NC_015762.1_mrna_XM_003392966.3_361	LOC100651549
lcl|NC_015762.1_mrna_XM_012320963.2_362	LOC100650389
lcl|NC_015762.1_mrna_XM_003392967.3_363	LOC100651668
lcl|NC_015762.1_mrna_XM_003392958.3_364	LOC100650512
lcl|NC_015762.1_mrna_XM_012321067.2_365	LOC100650140
lcl|NC_015762.1_mrna_XM_012321060.1_366	LOC100651430
lcl|NC_015762.1_mrna_XM_012321047.2_367	LOC100650630
lcl|NC_015762.1_mrna_XM_003392960.3_368	LOC100650630
lcl|NC_015762.1_mrna_XM_003392959.3_369	LOC100650630
lcl|NC_015762.1_mrna_XM_012321039.2_370	LOC100650630
lcl|NC_015762.1_mrna_XM_012321023.1_371	LOC100651186
lcl|NC_015762.1_mrna_XM_012321016.1_372	LOC100651186
lcl|NC_015762.1_mrna_XM_012320999.1_373	LOC100650266
lcl|NC_015762.1_mrna_XM_012321004.1_374	LOC100650266
lcl|NC_015762.1_mrna_XM_003392957.2_375	LOC100650266
lcl|NC_015762.1_mrna_XM_012321010.1_376	LOC100650266
lcl|NC_015762.1_mrna_XM_003392955.3_377	LOC100650024
lcl|NC_015762.1_mrna_XM_003392961.3_378	LOC100650833
lcl|NC_015762.1_mrna_XM_003392962.3_379	LOC100650948
lcl|NC_015762.1_mrna_XM_012321120.1_380	LOC100651787
lcl|NC_015762.1_mrna_XM_012321106.2_381	LOC100651787
lcl|NC_015762.1_mrna_XM_012321117.2_382	LOC100651787
lcl|NC_015762.1_mrna_XM_012321124.2_383	LOC100651787
lcl|NC_015762.1_mrna_NM_001308306.1_384	LOC100651787
lcl|NC_015762.1_mrna_XM_003392969.3_385	LOC100651909
lcl|NC_015762.1_mrna_XM_012321152.2_386	LOC100652028
lcl|NC_015762.1_mrna_XM_012321148.2_387	LOC100652028
lcl|NC_015762.1_mrna_XM_012321142.2_388	LOC100652149
lcl|NC_015762.1_miscrna_XR_002307884.1_389	LOC100652268
lcl|NC_015762.1_mrna_XM_020863795.1_390	LOC100652268
lcl|NC_015762.1_mrna_XM_020863791.1_391	LOC100652268
lcl|NC_015762.1_mrna_XM_020863793.1_392	LOC100652268
lcl|NC_015762.1_mrna_XM_012309408.2_393	LOC105665845
lcl|NC_015762.1_mrna_XM_020865175.1_394	LOC100642235
lcl|NC_015762.1_mrna_XM_003392972.2_395	LOC100642358
lcl|NC_015762.1_mrna_XM_012321191.1_396	LOC100642358
lcl|NC_015762.1_mrna_XM_012321215.2_397	LOC100642595
lcl|NC_015762.1_mrna_XM_012321201.2_398	LOC100642595
lcl|NC_015762.1_mrna_XM_012321234.2_399	LOC100642478
lcl|NC_015762.1_mrna_XM_012321227.2_400	LOC100642478
lcl|NC_015762.1_mrna_XM_003392974.3_401	LOC100642595
lcl|NC_015762.1_mrna_XM_012321238.2_402	LOC100642716
lcl|NC_015762.1_mrna_XM_020865308.1_403	LOC100642716
lcl|NC_015762.1_mrna_XM_012321286.2_404	LOC100642832
lcl|NC_015762.1_mrna_XM_012321294.2_405	LOC100642832
lcl|NC_015762.1_mrna_XM_020863349.1_406	LOC100642832
lcl|NC_015762.1_mrna_XM_020864049.1_407	LOC100642832
lcl|NC_015762.1_mrna_XM_020864292.1_408	LOC100642832
lcl|NC_015762.1_mrna_XM_020863808.1_409	LOC100642832
lcl|NC_015762.1_mrna_XM_012321307.2_410	LOC100642832
